"시점",합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,모의 연령별출산율:15-19세,모의 연령별출산율:15-19세,모의 연령별출산율:15-19세,모의 연령별출산율:15-19세,모의 연령별출산율:15-19세,모의 연령별출산율:15-19세,모의 연령별출산율:15-19세,모의 연령별출산율:15-19세,모의 연령별출산율:15-19세,모의 연령별출산율:15-19세,모의 연령별출산율:15-19세,모의 연령별출산율:15-19세,모의 연령별출산율:15-19세,모의 연령별출산율:15-19세,모의 연령별출산율:15-19세,모의 연령별출산율:15-19세,모의 연령별출산율:15-19세,모의 연령별출산율:15-19세,20-24세,20-24세,20-24세,20-24세,20-24세,20-24세,20-24세,20-24세,20-24세,20-24세,20-24세,20-24세,20-24세,20-24세,20-24세,20-24세,20-24세,20-24세,25-29세,25-29세,25-29세,25-29세,25-29세,25-29세,25-29세,25-29세,25-29세,25-29세,25-29세,25-29세,25-29세,25-29세,25-29세,25-29세,25-29세,25-29세,30-34세,30-34세,30-34세,30-34세,30-34세,30-34세,30-34세,30-34세,30-34세,30-34세,30-34세,30-34세,30-34세,30-34세,30-34세,30-34세,30-34세,30-34세,35-39세,35-39세,35-39세,35-39세,35-39세,35-39세,35-39세,35-39세,35-39세,35-39세,35-39세,35-39세,35-39세,35-39세,35-39세,35-39세,35-39세,35-39세,40-44세,40-44세,40-44세,40-44세,40-44세,40-44세,40-44세,40-44세,40-44세,40-44세,40-44세,40-44세,40-44세,40-44세,40-44세,40-44세,40-44세,40-44세,45-49세,45-49세,45-49세,45-49세,45-49세,45-49세,45-49세,45-49세,45-49세,45-49세,45-49세,45-49세,45-49세,45-49세,45-49세,45-49세,45-49세,45-49세
"2006",1.132,0.980,0.915,1.011,1.116,1.152,1.158,1.242,-,1.239,1.202,1.233,1.356,1.213,1.337,1.208,1.254,1.372,2.2,1.5,1.1,1.6,2.0,2.3,2.0,2.1,-,2.2,2.9,2.6,3.7,3.6,3.6,3.0,2.6,3.2,17.8,9.3,10.1,12.3,18.5,17.6,17.6,20.1,-,21.3,22.9,26.1,30.8,25.0,27.8,22.7,22.4,22.9,89.9,64.8,64.2,81.0,92.0,95.4,93.5,112.3,-,102.4,103.1,107.5,122.2,102.2,115.6,106.4,112.9,102.1,90.0,91.7,83.3,84.7,84.9,89.9,92.6,91.4,-,95.0,84.3,84.6,86.8,85.0,89.3,85.1,88.7,105.7,21.5,25.2,18.4,17.1,19.8,19.6,20.9,16.8,-,22.3,21.5,19.9,21.6,20.5,23.0,19.2,18.3,31.3,2.7,2.8,1.9,1.7,2.4,2.5,2.2,1.8,-,2.9,2.9,3.1,3.5,3.2,3.6,2.3,2.4,5.1,0.2,0.1,0.1,0.0,0.1,0.2,0.2,0.1,-,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.1,0.4
"2007",1.259,1.068,1.024,1.137,1.257,1.262,1.274,1.403,-,1.361,1.356,1.398,1.506,1.380,1.542,1.369,1.434,1.489,2.3,1.4,1.7,1.8,1.8,2.2,1.8,2.5,-,2.1,2.8,2.9,3.4,3.7,4.8,3.7,2.8,2.2,19.7,10.0,11.6,14.1,21.1,18.7,17.9,23.5,-,21.6,26.0,28.9,35.0,28.6,32.2,26.7,27.5,25.0,95.9,67.3,69.8,85.3,100.2,102.0,97.8,121.6,-,107.4,112.9,118.9,132.7,112.4,128.4,116.0,122.9,109.0,102.0,100.8,92.7,98.1,97.3,99.2,105.7,105.6,-,107.7,96.4,97.7,98.1,98.7,106.7,99.1,104.3,115.2,25.9,29.8,22.5,20.9,24.1,24.3,25.1,20.5,-,27.3,25.7,24.0,25.2,25.4,27.5,21.5,22.3,36.5,3.1,3.1,2.4,2.3,2.9,3.0,2.8,2.6,-,3.5,3.9,3.1,3.8,3.4,4.1,2.7,2.7,5.8,0.2,0.2,0.1,0.1,0.2,0.1,0.2,0.1,-,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.1,0.5
"2008",1.192,1.010,0.980,1.072,1.186,1.198,1.215,1.338,-,1.285,1.253,1.319,1.444,1.305,1.449,1.313,1.368,1.386,1.7,1.1,1.3,1.5,1.2,2.1,2.2,1.5,-,1.6,2.3,2.0,2.7,2.4,3.2,2.3,2.4,1.9,18.2,9.1,11.1,13.5,17.9,17.7,17.2,20.9,-,19.6,23.2,26.0,31.8,27.2,32.5,25.7,25.7,23.5,85.6,58.5,61.8,75.8,86.9,90.2,88.6,109.4,-,95.8,101.3,111.0,123.1,102.9,114.8,104.4,111.3,93.8,101.5,99.5,93.0,97.3,99.3,100.3,103.8,108.4,-,107.2,92.5,95.2,98.9,97.5,104.6,100.8,104.8,114.2,26.5,30.2,23.8,21.2,26.2,24.2,25.9,22.8,-,27.9,24.3,23.0,25.7,24.0,27.6,23.2,23.9,35.1,3.2,3.4,2.6,2.0,3.4,3.2,3.1,2.2,-,3.2,3.9,3.0,3.6,3.5,3.6,2.9,2.9,5.9,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.1,-,0.2,0.2,0.2,0.3,0.2,0.2,0.1,0.1,0.3
"2009",1.149,0.962,0.940,1.029,1.143,1.137,1.156,1.308,-,1.226,1.248,1.317,1.408,1.279,1.445,1.274,1.323,1.378,1.7,1.0,1.5,1.2,1.9,1.7,2.2,1.3,-,1.5,2.5,2.3,2.6,2.4,3.4,2.3,2.2,2.8,16.5,8.2,10.0,11.5,16.3,15.5,15.2,19.8,-,17.3,21.1,25.4,30.2,26.2,30.3,23.2,23.0,22.5,80.4,53.9,57.7,71.5,82.7,82.3,82.5,105.3,-,88.9,99.0,107.3,116.7,95.4,113.8,99.5,105.4,93.5,100.8,95.9,91.9,96.7,98.2,98.8,102.6,108.7,-,106.1,95.8,100.0,102.1,101.9,108.3,102.4,106.0,111.1,27.3,31.2,24.5,22.2,26.5,25.7,25.8,24.6,-,28.4,26.7,24.0,25.4,24.8,27.6,23.8,25.1,38.6,3.4,3.6,2.7,2.3,3.1,3.6,3.2,2.7,-,3.6,3.8,3.3,4.1,3.7,4.2,3.2,3.0,5.9,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.0,-,0.2,0.2,0.2,0.3,0.3,0.2,0.1,0.1,0.1
"2010",1.226,1.015,1.045,1.109,1.214,1.223,1.205,1.369,-,1.309,1.313,1.402,1.479,1.374,1.537,1.377,1.413,1.463,1.8,1.1,1.6,1.3,2.0,1.8,1.4,1.7,-,1.6,2.1,2.2,2.6,2.8,2.9,2.6,2.0,2.6,16.5,8.1,11.0,11.1,15.8,16.7,16.5,16.7,-,16.9,21.8,24.4,29.7,25.3,31.4,24.2,22.3,23.0,79.7,52.0,58.0,70.9,81.0,84.3,78.4,102.2,-,87.9,96.8,104.6,116.8,98.8,112.9,101.7,105.3,96.5,112.4,103.3,104.7,109.6,109.6,110.1,111.2,125.2,-,118.7,108.7,117.0,112.9,112.1,122.7,117.4,122.2,123.8,32.6,36.0,31.8,27.4,31.8,29.3,31.5,28.3,-,34.4,29.4,28.9,31.0,31.4,32.8,28.2,29.8,40.3,4.1,4.6,3.5,3.2,3.9,4.0,3.5,2.8,-,4.2,4.4,4.4,4.2,4.1,4.7,3.5,3.6,7.5,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,-,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.1
"2011",1.244,1.014,1.078,1.146,1.232,1.234,1.261,1.393,-,1.314,1.338,1.428,1.496,1.405,1.568,1.434,1.446,1.487,1.8,1.0,1.6,1.2,1.9,2.0,1.9,1.5,-,1.6,2.6,2.5,2.9,2.8,3.0,2.5,2.1,2.1,16.4,8.3,11.3,11.8,15.9,17.5,16.5,14.5,-,16.5,22.3,24.7,30.5,25.1,30.3,23.8,21.5,23.5,78.4,50.2,59.0,70.5,79.5,83.8,80.5,98.0,-,85.4,96.0,105.0,114.3,97.9,111.6,101.6,104.6,95.6,114.4,102.1,106.7,114.4,112.3,109.9,116.6,131.7,-,119.7,110.1,117.6,118.3,116.7,127.8,124.5,126.8,126.0,35.4,38.5,34.6,30.4,34.0,31.7,34.3,33.2,-,36.9,32.9,33.3,31.0,33.8,35.0,33.0,33.7,43.3,4.6,4.9,4.1,3.2,4.4,4.0,4.0,3.0,-,4.9,4.6,4.4,4.8,4.8,6.1,4.2,4.0,7.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,-,0.2,0.3,0.2,0.2,0.3,0.4,0.1,0.2,0.3
"2012",1.297,1.059,1.135,1.217,1.301,1.295,1.315,1.481,1.597,1.355,1.374,1.485,1.571,1.440,1.642,1.489,1.503,1.598,1.8,1.2,1.6,1.1,1.8,1.9,2.3,1.4,2.2,1.5,2.3,2.6,2.8,2.6,2.7,2.1,2.1,2.5,16.0,7.9,11.1,12.4,15.6,16.8,16.1,16.4,29.3,16.3,21.0,23.8,29.3,23.4,28.8,23.6,19.8,23.2,77.4,49.2,59.0,70.0,79.1,78.9,79.8,102.6,101.1,83.1,93.9,104.4,113.0,96.2,113.6,101.8,103.5,98.9,121.9,108.0,113.9,122.0,120.2,122.0,122.7,139.9,141.9,126.4,117.2,127.5,130.6,122.7,137.5,132.0,136.9,136.5,39.0,42.0,38.0,35.5,39.6,36.1,38.2,35.5,38.0,40.1,35.3,35.9,34.9,37.2,39.8,35.4,36.3,50.8,4.9,5.4,4.6,3.8,5.0,4.5,5.1,3.8,7.8,5.0,5.1,4.3,4.9,5.5,5.6,4.4,4.5,8.0,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.5
"2013",1.187,0.968,1.049,1.127,1.195,1.170,1.234,1.391,1.435,1.226,1.249,1.365,1.442,1.320,1.518,1.379,1.367,1.427,1.7,1.2,1.8,1.6,1.7,1.7,1.9,1.8,1.7,1.4,2.4,2.2,2.4,2.3,2.9,2.4,1.8,2.6,14.0,7.1,10.9,10.4,13.8,14.0,14.4,14.5,23.3,13.6,19.1,21.9,25.1,20.1,24.3,20.8,17.4,21.8,65.9,41.6,51.3,60.1,67.3,68.1,71.1,86.8,91.0,69.5,80.3,89.6,97.6,80.2,97.8,89.4,88.0,80.7,111.4,96.9,102.5,113.1,111.2,109.7,115.4,132.7,127.4,115.3,106.5,116.8,120.0,116.6,130.5,120.9,124.8,122.5,39.5,42.4,38.7,35.5,40.1,35.9,39.2,38.7,39.0,40.1,34.6,37.4,37.5,37.5,40.9,37.5,36.6,49.2,4.8,5.0,4.4,4.1,4.8,4.5,4.6,3.9,5.5,4.9,4.8,4.4,4.6,5.5,5.7,4.2,4.6,7.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.2,0.3,0.2,0.1,0.1,0.2
"2014",1.205,0.983,1.090,1.169,1.212,1.199,1.250,1.437,1.354,1.241,1.248,1.363,1.421,1.329,1.497,1.408,1.409,1.481,1.6,1.0,1.5,1.3,1.7,1.7,1.8,1.3,1.7,1.3,2.0,2.0,2.3,2.5,2.6,2.4,1.5,2.7,13.1,6.7,10.0,10.2,13.2,13.8,13.4,15.4,18.5,12.8,16.7,19.0,22.5,18.8,22.9,18.9,16.9,20.5,63.4,39.5,49.9,60.2,63.8,65.1,67.3,85.1,84.2,66.6,78.8,87.6,91.4,79.8,93.6,86.3,84.0,85.4,113.8,98.5,107.7,114.7,113.6,112.3,118.0,135.0,120.3,117.4,108.4,118.4,122.2,116.3,130.0,126.0,130.2,125.0,43.2,45.8,43.3,41.1,44.1,41.0,43.3,44.9,42.9,43.5,36.7,38.8,39.1,40.8,42.5,41.4,42.8,52.5,5.2,5.8,4.8,4.6,5.2,4.6,5.1,4.6,4.8,5.2,4.7,5.1,5.0,5.2,5.2,4.7,4.8,7.8,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.3
"2015",1.239,1.001,1.139,1.216,1.216,1.207,1.277,1.486,1.893,1.272,1.311,1.414,1.480,1.352,1.549,1.464,1.437,1.477,1.4,1.0,1.4,1.1,1.6,1.4,1.8,1.6,1.3,1.1,2.1,2.0,2.0,1.9,2.1,1.7,1.7,2.7,12.5,6.4,10.1,9.3,13.1,12.6,12.4,13.5,19.1,11.9,17.1,17.9,22.5,17.6,21.7,18.4,15.3,19.0,63.1,38.1,51.3,59.5,62.7,62.7,67.1,85.4,119.7,65.9,77.6,88.6,97.8,78.0,92.7,87.3,83.7,79.2,116.7,100.4,110.0,120.3,113.2,113.2,120.6,142.1,169.7,119.8,114.6,122.7,123.0,119.0,135.6,131.3,133.3,125.1,48.3,49.6,49.5,47.0,46.6,45.0,47.9,49.1,64.0,49.1,42.7,44.8,44.5,46.0,49.0,48.0,47.0,59.1,5.6,6.0,5.8,4.8,5.7,5.6,5.0,4.7,6.3,5.7,5.5,5.4,5.3,5.6,6.2,4.9,5.0,8.6,0.2,0.2,0.1,0.1,0.1,0.3,0.2,0.1,0.3,0.2,0.1,0.2,0.1,0.2,0.2,0.1,0.2,0.2
"2016",1.172,0.940,1.095,1.186,1.144,1.168,1.192,1.418,1.821,1.194,1.237,1.358,1.395,1.251,1.466,1.396,1.358,1.432,1.3,0.9,1.5,0.9,1.4,1.4,1.4,1.3,1.1,1.0,1.5,1.6,2.0,1.5,2.0,1.4,1.2,2.3,11.5,5.4,9.0,9.0,12.9,11.4,12.3,12.8,19.7,11.2,15.6,17.6,20.4,16.1,18.0,16.6,14.8,17.5,56.4,33.3,46.2,55.8,55.7,60.4,57.9,77.9,110.0,57.6,71.8,80.7,85.4,66.8,84.5,80.1,76.1,75.8,110.1,93.3,105.8,115.9,105.8,107.1,111.3,132.9,160.7,113.1,107.8,118.6,118.6,113.5,128.4,125.3,123.7,117.2,48.7,49.8,50.5,48.5,46.8,45.9,49.0,51.9,63.4,48.7,42.5,46.1,45.8,43.9,50.6,48.0,48.8,62.4,5.9,6.3,6.2,5.2,5.4,5.6,5.4,5.1,9.6,6.0,5.2,5.1,5.2,5.7,6.5,6.1,5.3,8.7,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.3,0.2,0.1,0.3
"2017",1.052,0.836,0.976,1.067,1.007,1.053,1.075,1.261,1.668,1.069,1.123,1.235,1.276,1.151,1.325,1.256,1.227,1.305,1.0,0.7,1.1,0.8,1.2,1.2,1.5,1.1,0.8,0.8,1.4,1.5,1.8,1.3,1.8,1.1,1.1,1.6,9.6,4.5,7.4,7.8,10.3,9.9,9.2,11.5,14.8,9.2,13.3,14.8,17.4,13.4,16.2,14.5,11.5,13.6,47.9,26.6,40.0,47.6,46.3,50.9,51.8,66.5,95.2,48.3,64.7,67.8,75.7,61.4,72.2,69.6,66.5,65.0,97.7,81.3,92.3,104.0,92.0,95.9,98.8,117.8,153.2,100.6,95.6,108.2,107.8,100.7,115.3,110.3,111.4,112.2,47.2,48.3,47.7,45.7,44.6,45.0,45.8,47.0,63.8,47.5,41.0,46.8,45.3,44.7,49.9,47.8,47.3,56.0,6.0,6.4,6.1,5.1,5.9,5.5,5.9,5.9,7.1,6.1,5.9,5.9,5.9,5.7,6.0,5.9,5.3,8.9,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.5,0.2,0.1,0.2,0.2,0.2,0.3,0.2,0.1,0.2
"2018",0.977,0.761,0.899,0.987,1.006,0.972,0.952,1.131,1.566,1.002,1.067,1.172,1.186,1.044,1.240,1.167,1.122,1.220,0.9,0.6,1.1,0.7,1.2,1.0,1.3,0.8,1.2,0.7,1.2,1.3,1.3,1.1,1.6,1.2,1.1,1.1,8.2,3.5,5.7,6.5,9.1,8.7,8.3,9.2,12.4,7.6,12.1,14.0,15.7,12.1,13.3,12.4,10.7,12.1,41.0,21.5,32.8,40.9,43.3,40.8,41.8,55.7,85.8,41.8,57.6,63.1,66.4,49.7,63.3,60.6,56.4,60.2,91.4,73.8,86.5,96.1,92.3,91.4,88.6,106.7,143.7,94.7,91.5,102.5,102.7,92.5,110.3,103.5,104.4,102.6,46.1,45.3,46.0,45.2,47.1,44.1,42.9,45.6,61.3,47.2,42.7,45.4,43.7,43.9,49.9,46.9,43.8,55.7,6.4,7.1,6.2,5.4,6.6,5.8,5.5,6.0,9.5,6.5,5.6,5.8,5.8,6.4,6.1,6.0,5.4,9.0,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.3,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.3
"2019",0.918,0.717,0.827,0.932,0.940,0.913,0.883,1.084,1.472,0.943,1.082,1.050,1.112,0.971,1.234,1.089,1.046,1.145,0.8,0.5,0.8,0.6,1.0,0.8,0.7,0.9,0.7,0.7,1.3,1.5,1.4,1.1,1.2,1.0,1.0,1.1,7.1,3.0,5.2,5.7,8.5,7.1,7.0,7.9,11.6,6.7,11.0,11.6,13.7,10.5,12.0,10.0,8.4,11.9,35.7,17.7,28.8,37.1,36.2,37.3,36.7,48.6,73.1,36.5,54.7,52.6,58.6,45.0,58.9,55.1,49.3,50.0,86.2,68.2,79.3,91.3,87.0,85.7,82.0,107.0,139.8,89.3,96.6,93.8,97.4,87.3,111.9,97.7,98.6,98.3,45.0,45.5,42.5,43.0,46.3,42.2,42.0,43.6,60.6,46.2,43.1,41.5,42.0,40.8,51.3,44.5,42.7,53.6,7.0,7.5,6.6,5.8,7.1,6.6,6.1,6.2,9.5,7.2,6.7,6.5,6.9,6.4,7.8,6.5,6.2,10.6,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0.2,0.4,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3
"2020",0.837,0.642,0.747,0.807,0.829,0.811,0.805,0.984,1.277,0.878,1.036,0.983,1.029,0.909,1.145,1.003,0.945,1.021,0.7,0.3,0.7,0.6,0.8,0.6,0.8,0.5,0.2,0.7,1.3,1.1,1.1,1.1,1.5,1.0,0.7,1.3,6.2,2.5,4.6,5.4,6.6,5.5,5.9,7.0,8.7,5.9,10.2,10.1,11.5,8.1,11.7,9.7,7.5,11.3,30.6,14.3,24.7,29.3,30.6,30.3,30.1,42.7,56.0,32.3,51.0,46.1,52.1,40.3,53.9,47.6,42.4,42.6,78.9,60.3,72.5,79.6,76.9,75.9,76.1,99.4,128.0,83.3,92.7,90.0,92.7,82.4,103.2,91.4,90.9,88.0,42.3,42.4,38.7,38.0,42.4,40.6,39.7,39.4,54.8,44.3,42.4,41.2,39.4,40.3,48.2,41.9,39.3,49.3,7.1,7.7,6.6,5.8,6.9,6.7,6.4,6.0,7.7,7.5,7.3,6.1,7.1,6.9,7.5,6.8,5.9,9.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.1,0.3,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.3
"2021",0.808,0.626,0.728,0.785,0.778,0.896,0.810,0.940,1.277,0.853,0.979,0.949,0.963,0.850,1.017,0.966,0.903,0.951,0.4,0.2,0.2,0.5,0.7,0.6,0.5,0.1,0.2,0.4,0.5,0.7,0.6,0.6,0.8,0.7,0.4,0.2,5.0,1.8,3.7,4.0,5.3,5.0,5.0,5.9,6.3,4.9,8.5,8.4,9.8,6.9,9.2,7.5,6.3,9.0,27.5,12.1,21.4,25.6,27.5,32.0,28.9,38.5,54.6,29.0,47.0,43.0,46.6,36.5,46.0,43.5,38.7,38.3,76.1,57.6,69.8,76.8,71.0,86.1,76.6,95.1,128.1,81.2,87.2,88.4,86.2,75.9,92.8,89.2,87.0,81.7,43.5,43.9,41.6,41.1,42.1,45.2,41.9,39.7,58.4,45.6,43.1,40.8,40.8,40.3,44.5,42.8,39.5,47.6,7.6,8.3,7.2,6.3,7.7,7.3,6.8,6.6,8.6,7.9,7.3,6.3,7.0,7.3,7.8,7.6,6.5,10.7,0.2,0.2,0.1,0.1,0.2,0.3,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.4
